Byte_or_Block,Frequency
00e782660953944e0d5530aa9b011dfd,2
bb82a31aee13930440f2396b08dfd74d,2
3496bbd77942d44bac81d23f24124d60,2
1a48bc60d88291ba1932a5613fe1d37e,2
6687ba15472730ba2e21c44a50b33225,2
df8de1f9b1ca290b20a393604a5d27f2,2
dbb9b74f3ae371edce30dc2a7a997779,2
fa89bcb0bf4068ea84d6fd0de879ea2e,2
839d8728a513486c5734a9329556059f,1
6e62e9a62f39ad5f6a09b45a5132b6f0,1
dbed9724fef3b6578412804e737b6c96,1
007fe4af52c2465c4835735b1e8ca78b,1
27f969124ebdc2b502b015fbc71b2e70,1
b74ad8e0503ca92cf3c7f00c33f77f01,1
a9e7505223dc6a0bb2de4d6dc6f4f8f1,1
7fde64d448e7ad629d95d6681898c832,1
21f778b319c38352bc493034b19f4186,1
5a57029b7aa74cf44abfcea38afbc485,1
d77ae6383eb84a08a3a09627bdabd272,1
25812fe359cad0b63e708c8d42a03134,1
7094438eed1ef35a493d2df413169789,1
1910b1ce639ed2144269dd04d869ba91,1
174ad140e1a141c5f54d62518c741bbc,1
4563d22505d493c27abbe1cea4a78db3,1
4072eec3031c7a36ea88a62ce741083e,1
b7119dfbbbfeb7042ed0d42f1849311a,1
85b0f8b350a2da80e338a227bef88539,1
321283ecf82945900755da933c0db945,1
7a1bd913acda2ad4623703c096ce521b,1
666ea8bcdd1ba4b5a6b2ed2a5986f29c,1
a455c16c3962f4fa4676dfd8e92a226c,1
8538449ab101e2d20fd5c537fb134752,1
f796156803e47d91c104636e726be062,1
35a962a10935c3803e4f017e87ba267d,1
