Byte_or_Block,Frequency
251,5
152,6
14,5
87,4
194,4
25,3
176,1
68,5
196,2
248,3
191,4
122,3
2,2
224,1
185,3
210,3
33,5
73,4
190,6
179,5
114,4
135,4
88,2
151,4
166,5
183,4
19,4
67,4
159,5
235,2
60,4
230,6
43,3
85,4
115,5
26,6
117,4
154,5
253,3
137,1
173,4
193,2
41,3
90,5
121,3
32,2
195,3
66,10
133,4
94,4
124,2
203,3
241,3
220,4
1,5
23,4
80,4
99,4
143,4
59,5
118,6
4,4
113,3
11,3
146,5
54,5
161,3
70,3
111,4
188,4
130,2
20,2
15,1
3,2
93,4
233,2
42,3
227,4
148,6
175,4
225,3
22,2
9,2
17,1
201,5
174,3
247,2
223,2
141,2
30,5
101,5
232,4
214,3
53,3
168,2
171,2
98,2
36,3
97,2
160,3
192,5
202,5
72,2
24,1
103,3
81,1
140,3
28,3
50,3
205,3
27,3
71,5
240,3
215,2
222,1
108,3
5,1
252,2
149,1
120,3
132,2
0,5
150,5
39,3
46,3
221,2
165,1
29,3
119,4
245,4
7,3
163,4
40,2
95,1
228,4
65,3
180,2
189,4
78,1
219,1
102,2
109,3
55,1
199,2
246,2
58,3
164,3
77,2
74,2
207,2
181,1
200,1
157,3
35,4
236,2
12,3
170,4
243,3
106,3
186,5
208,4
8,3
136,2
234,1
112,5
250,1
138,1
129,1
254,3
226,3
197,3
6,2
131,1
34,2
18,2
167,2
249,2
64,1
45,2
217,2
155,3
127,1
49,4
37,2
187,2
216,3
82,1
96,2
139,1
182,4
75,3
142,1
56,1
76,1
231,3
238,3
61,4
44,2
134,1
255,1
107,3
48,2
229,2
212,3
79,2
162,2
144,2
242,3
92,1
211,3
89,1
38,2
206,2
218,5
84,2
126,1
63,3
57,3
47,2
86,2
83,2
125,1
153,1
110,1
158,2
52,2
147,1
204,1
105,2
237,1
198,1
16,1
104,1
244,2
62,1
213,1
100,1
