Byte_or_Block,Frequency
0,3
231,5
130,6
102,5
9,4
83,2
148,3
78,4
13,5
85,4
48,7
170,2
155,3
1,5
29,2
253,4
187,6
163,6
26,5
238,3
19,6
147,6
4,5
64,6
242,5
57,5
107,3
8,4
223,5
215,5
77,6
52,5
150,6
121,6
66,4
212,6
75,2
172,3
129,3
210,6
63,4
36,3
18,5
96,6
72,5
188,7
216,5
145,4
186,8
25,4
50,8
165,3
97,2
225,6
211,2
126,3
135,4
21,4
71,3
39,7
46,6
33,3
196,3
74,8
80,5
179,5
37,4
141,4
249,3
177,5
202,3
41,3
11,3
32,2
93,2
219,3
185,3
183,5
79,3
58,2
227,4
113,2
237,5
206,6
220,3
42,5
122,7
153,2
119,2
250,3
137,3
176,4
191,3
104,4
234,5
132,3
214,3
232,2
131,3
157,3
40,1
108,4
87,3
169,4
149,2
86,1
5,2
159,2
110,3
98,7
233,2
166,3
47,3
173,2
95,1
106,2
180,1
90,3
81,2
182,3
240,2
151,2
254,2
243,3
128,3
115,2
123,1
127,3
228,2
175,1
82,5
194,3
70,2
92,1
53,3
91,1
30,2
140,3
167,3
139,1
105,3
189,2
181,2
2,2
251,4
199,2
27,5
112,3
224,2
60,2
44,2
12,1
51,1
247,3
35,1
178,2
222,2
109,1
198,1
244,4
248,4
241,1
100,1
24,2
152,1
200,1
120,1
195,3
73,3
65,3
134,2
76,1
138,1
133,4
230,1
56,3
62,4
184,1
160,2
171,1
114,3
89,2
208,2
49,2
67,1
142,1
61,1
45,1
22,1
16,1
99,3
158,1
20,1
221,2
23,1
209,1
161,2
197,2
245,1
116,1
69,3
164,3
3,3
28,1
54,1
136,1
17,1
162,2
218,3
190,1
236,1
144,1
7,1
217,1
55,2
192,1
168,1
156,1
193,2
118,1
34,1
68,1
154,1
226,1
15,1
213,1
125,2
38,1
